O,D,Ton
10,76,2
10,77,5
10,78,14
10,79,2
10,80,119
10,81,2
10,82,11
10,83,1
10,84,4
10,87,1
10,88,6
10,89,2
10,92,1
10,94,4
10,95,6
10,96,3
10,97,16
10,98,4
10,101,3
10,103,5
10,105,1
10,107,1
10,110,5
10,111,9
10,112,2
10,114,6
10,115,3
10,116,3
10,118,7
10,119,2
10,120,2
10,121,1
10,122,3
10,123,3
10,124,2
10,126,1
10,127,2
10,128,12
10,130,6
10,131,9
10,132,5
10,133,3
10,135,7
10,137,3
10,140,12
10,141,13
10,142,6
10,144,35
10,145,138
10,146,25
10,147,1
10,148,4
10,149,6
10,150,4
10,151,5
10,152,108
10,153,18
10,154,2
10,155,118
10,156,11
10,157,1
10,158,1
10,159,24
10,160,4
10,161,1
10,162,25
10,163,1
10,164,7
10,165,5
10,166,11
10,167,5
10,169,1
10,170,29
10,171,6
10,175,11
10,176,1
10,177,1
10,179,10
10,180,8
10,181,8
10,182,6
10,183,1
10,185,2
10,186,5
10,187,1
10,188,4
10,189,1
10,192,5
10,193,1
10,194,3
11,1,3
11,2,3
11,4,4
11,5,5
11,7,2
11,8,3
11,9,3
11,10,4
11,12,53
11,13,8
11,14,7
11,15,5
11,16,6
11,17,5
11,18,3
11,19,5
11,20,1
11,21,14
11,22,3
11,23,8
11,24,3
11,25,15
11,26,10
11,27,4
11,28,6
11,29,11
11,30,6
11,31,5
11,32,10
11,33,7
11,34,12
11,35,8
11,36,9
11,38,3
11,43,3
11,44,4
11,45,2
11,46,1
11,47,2
11,48,3
11,49,22
11,51,19
11,52,12
11,53,13
11,54,11
11,55,1
11,58,5
11,59,8
11,60,8
11,61,1
11,63,3
11,64,2
11,65,5
11,66,13
11,67,3
11,68,3
11,69,8
11,71,6
11,72,4
11,73,4
11,74,11
11,75,1
11,76,9
11,77,12
11,78,35
11,79,2
11,80,189
11,81,22
11,82,10
11,83,1
11,85,5
11,86,9
11,88,8
11,89,5
11,90,3
11,91,2
11,93,1
11,94,19
11,95,5
11,96,3
11,97,24
11,98,19
11,99,2
11,101,6
11,102,13
11,104,1
11,105,3
11,106,4
11,107,5
11,108,1
11,109,3
11,110,3
11,111,19
11,112,3
11,113,4
11,114,4
11,115,4
11,116,1
11,118,2
11,119,3
11,120,1
11,121,4
11,122,2
11,123,7
11,124,4
11,126,6
11,127,9
11,128,4
11,129,1
11,130,9
11,131,15
11,132,8
11,133,1
11,134,1
11,135,7
11,136,6
11,137,4
11,138,4
11,139,1
11,140,29
11,141,22
11,142,11
11,143,2
11,144,39
11,145,213
11,146,26
11,147,6
11,148,13
11,149,16
11,150,4
11,151,11
11,152,154
11,153,14
11,154,5
11,155,152
11,156,18
11,157,2
11,158,15
11,159,46
11,160,14
11,161,7
11,162,39
11,163,13
11,164,8
11,165,10
11,166,1
11,167,8
11,168,4
11,169,6
11,170,22
11,171,3
11,172,2
11,174,1
11,175,13
11,176,6
11,178,4
11,179,14
11,180,20
11,181,9
11,182,15
11,183,7
11,184,1
11,185,1
11,186,4
11,187,3
11,188,9
11,190,2
11,192,4
11,193,2
11,194,7
12,4,1
12,6,1
12,7,1
12,8,1
12,13,1
12,15,1
12,16,2
12,17,1
12,19,3
12,22,2
12,24,1
12,27,1
12,31,2
12,32,1
12,34,2
12,35,1
12,36,4
12,43,6
12,45,1
12,51,1
12,52,2
12,53,5
12,57,1
12,60,1
12,66,1
12,68,1
12,69,2
12,71,3
12,72,1
12,74,1
12,75,3
12,76,1
12,78,11
12,80,22
12,81,6
12,82,1
12,83,1
12,85,2
12,86,1
12,93,2
12,94,1
12,96,2
12,97,1
12,98,2
12,100,3
12,101,1
12,102,4
12,104,1
12,107,1
12,109,2
12,110,5
12,111,6
12,112,1
12,113,1
12,117,1
12,118,1
12,120,5
12,127,3
12,130,2
12,131,3
12,132,2
12,135,6
12,137,2
12,140,5
12,141,3
12,142,4
12,144,7
12,145,37
12,146,7
12,147,3
12,152,28
12,154,1
12,155,21
12,156,3
12,159,6
12,163,1
12,164,1
12,169,2
12,171,1
12,173,6
12,178,3
12,179,5
12,180,6
12,182,2
12,183,3
12,185,4
12,186,2
12,188,1
12,192,7
12,194,2
13,1,6
13,2,1
13,4,1
13,5,6
13,7,8
13,8,6
13,9,4
13,11,1
13,12,12
13,14,8
13,15,5
13,16,12
13,17,6
13,18,1
13,19,6
13,21,15
13,22,18
13,23,8
13,24,1
13,25,21
13,27,20
13,28,12
13,29,6
13,30,3
13,31,14
13,32,9
13,33,1
13,34,41
13,35,11
13,36,9
13,37,1
13,38,2
13,39,1
13,40,2
13,43,3
13,44,6
13,45,2
13,49,58
13,50,4
13,51,7
13,52,19
13,53,7
13,54,14
13,56,1
13,58,2
13,59,4
13,60,14
13,61,9
13,63,2
13,65,2
13,66,2
13,67,1
13,68,11
13,69,9
13,70,2
13,71,3
13,72,2
13,73,1
13,74,5
13,75,1
13,76,3
13,77,7
13,78,39
13,79,8
13,80,190
13,81,5
13,82,17
13,83,2
13,85,2
13,87,1
13,88,4
13,89,5
13,92,3
13,94,9
13,95,1
13,96,5
13,97,21
13,98,7
13,99,6
13,101,13
13,102,9
13,103,5
13,104,3
13,105,3
13,106,5
13,107,13
13,108,1
13,110,15
13,111,16
13,112,1
13,113,4
13,114,8
13,115,7
13,116,4
13,118,1
13,119,2
13,120,6
13,122,2
13,124,1
13,126,11
13,127,21
13,128,9
13,129,2
13,130,10
13,131,11
13,132,5
13,133,1
13,134,1
13,135,8
13,136,9
13,137,3
13,138,1
13,140,45
13,141,31
13,142,4
13,143,1
13,144,67
13,145,312
13,146,11
13,147,7
13,148,4
13,149,27
13,150,4
13,151,10
13,152,196
13,153,24
13,154,10
13,155,119
13,156,18
13,158,1
13,159,45
13,160,1
13,162,45
13,163,5
13,164,5
13,165,7
13,166,8
13,167,9
13,168,2
13,169,2
13,170,22
13,171,6
13,173,2
13,175,3
13,176,3
13,179,14
13,180,19
13,181,15
13,182,11
13,183,6
13,185,1
13,186,7
13,187,1
13,188,12
13,190,1
13,191,2
13,192,4
13,193,2
14,1,13
14,4,6
14,5,1
14,6,2
14,7,7
14,8,2
14,9,9
14,11,5
14,12,37
14,13,13
14,15,18
14,16,10
14,17,11
14,18,5
14,19,5
14,20,2
14,21,20
14,22,6
14,23,16
14,24,1
14,25,20
14,26,3
14,27,27
14,28,15
14,29,14
14,30,24
14,31,21
14,32,17
14,33,8
14,34,44
14,35,12
14,36,15
14,37,3
14,38,10
14,43,2
14,44,4
14,47,1
14,48,1
14,49,66
14,51,20
14,52,9
14,53,9
14,54,11
14,55,7
14,56,1
14,57,2
14,58,6
14,59,1
14,60,4
14,61,10
14,63,6
14,64,4
14,65,1
14,66,2
14,67,2
14,68,5
14,69,9
14,70,2
14,71,1
14,72,9
14,73,4
14,74,20
14,75,2
14,76,6
14,77,7
14,78,51
14,79,9
14,80,269
14,81,13
14,82,14
14,84,5
14,85,2
14,86,4
14,87,3
14,88,8
14,89,4
14,91,3
14,92,2
14,93,1
14,94,22
14,95,1
14,96,10
14,97,46
14,98,4
14,99,1
14,100,1
14,101,16
14,102,16
14,103,2
14,104,5
14,105,3
14,106,12
14,107,6
14,108,6
14,110,3
14,111,23
14,112,2
14,113,2
14,114,6
14,115,5
14,116,12
14,118,3
14,119,1
14,120,5
14,121,9
14,124,1
14,126,11
14,127,8
14,128,9
14,129,2
14,130,4
14,131,16
14,132,8
14,135,19
14,136,5
14,137,15
14,138,2
14,139,1
14,140,34
14,141,61
14,142,14
14,143,2
14,144,40
14,145,282
14,146,28
14,147,3
14,148,15
14,149,19
14,150,4
14,151,22
14,152,217
14,153,20
14,154,1
14,155,183
14,156,33
14,158,7
14,159,51
14,160,7
14,161,6
14,162,55
14,163,3
14,164,3
14,165,5
14,166,5
14,167,9
14,168,5
14,169,2
14,170,37
14,171,2
14,173,3
14,174,1
14,175,10
14,176,4
14,178,1
14,179,25
14,180,23
14,181,17
14,182,11
14,183,4
14,184,2
14,185,6
14,186,3
14,187,12
14,188,9
14,190,1
14,191,1
14,192,10
14,193,5
15,1,17
15,4,6
15,7,12
15,9,6
15,12,35
15,13,12
15,14,8
15,16,26
15,17,7
15,18,3
15,19,7
15,21,14
15,22,6
15,23,9
15,24,11
15,25,6
15,26,3
15,27,14
15,28,5
15,29,2
15,30,16
15,31,9
15,32,11
15,33,1
15,34,19
15,35,3
15,36,9
15,37,3
15,38,1
15,43,1
15,44,2
15,45,2
15,47,2
15,49,33
15,51,16
15,52,20
15,53,7
15,54,13
15,55,6
15,56,2
15,58,2
15,59,1
15,60,10
15,61,4
15,62,3
15,63,4
15,64,1
15,66,4
15,67,1
15,68,3
15,69,2
15,70,1
15,71,2
15,72,7
15,73,5
15,74,5
15,75,1
15,77,8
15,78,38
15,79,5
15,80,181
15,81,10
15,82,17
15,83,1
15,86,1
15,88,3
15,92,4
15,94,16
15,96,2
15,97,21
15,98,2
15,101,11
15,102,13
15,103,3
15,104,8
15,105,1
15,106,4
15,107,12
15,108,2
15,109,6
15,110,6
15,111,8
15,112,1
15,113,3
15,114,6
15,115,6
15,116,1
15,118,2
15,119,1
15,120,7
15,121,3
15,122,3
15,123,1
15,124,5
15,126,1
15,127,7
15,128,3
15,130,9
15,131,21
15,132,6
15,133,1
15,134,1
15,135,19
15,136,11
15,137,1
15,140,44
15,141,36
15,142,17
15,143,1
15,144,22
15,145,210
15,146,21
15,147,3
15,148,9
15,149,5
15,150,6
15,151,8
15,152,136
15,153,14
15,154,2
15,155,112
15,156,8
15,157,1
15,158,4
15,159,41
15,160,5
15,161,2
15,162,33
15,163,6
15,164,9
15,165,2
15,166,11
15,167,6
15,168,6
15,169,2
15,170,32
15,171,6
15,172,1
15,173,3
15,175,3
15,176,2
15,177,1
15,178,1
15,179,8
15,180,14
15,181,9
15,182,6
15,183,8
15,184,1
15,185,2
15,186,3
15,187,1
15,188,6
15,192,4
15,193,1
16,1,2
16,2,2
16,4,2
16,7,2
16,8,6
16,9,2
16,11,2
16,12,28
16,13,1
16,14,19
16,15,2
16,17,7
16,18,1
16,19,12
16,20,1
16,21,19
16,22,20
16,23,5
16,24,2
16,25,4
16,26,1
16,27,9
16,28,5
16,29,9
16,30,3
16,31,4
16,32,7
16,33,3
16,34,23
16,35,6
16,36,9
16,37,2
16,38,10
16,39,1
16,41,1
16,42,2
16,43,1
16,44,5
16,49,28
16,50,2
16,51,16
16,52,19
16,53,16
16,54,7
16,55,7
16,56,2
16,57,2
16,58,3
16,60,5
16,61,7
16,63,5
16,65,2
16,66,2
16,67,1
16,68,6
16,69,3
16,70,3
16,71,6
16,72,10
16,74,18
16,76,2
16,77,7
16,78,37
16,79,2
16,80,135
16,81,13
16,82,18
16,83,5
16,84,2
16,85,7
16,86,1
16,87,2
16,88,1
16,89,4
16,91,1
16,92,1
16,94,16
16,95,2
16,96,5
16,97,29
16,98,2
16,101,18
16,102,6
16,103,5
16,104,5
16,105,2
16,106,3
16,107,13
16,108,2
16,109,4
16,110,6
16,111,14
16,112,1
16,113,1
16,114,10
16,115,5
16,116,5
16,117,1
16,118,1
16,119,1
16,120,5
16,121,2
16,125,1
16,126,7
16,127,4
16,128,9
16,129,1
16,130,14
16,131,14
16,132,5
16,134,1
16,135,14
16,136,7
16,137,3
16,138,3
16,140,26
16,141,43
16,142,21
16,144,43
16,145,197
16,146,19
16,147,7
16,148,6
16,149,8
16,150,5
16,152,136
16,153,12
16,154,2
16,155,87
16,156,15
16,157,5
16,158,5
16,159,37
16,160,3
16,161,2
16,162,35
16,163,15
16,164,4
16,165,15
16,166,8
16,167,10
16,168,1
16,169,3
16,170,24
16,171,4
16,174,1
16,175,6
16,176,5
16,177,4
16,178,3
16,179,10
16,180,12
16,181,11
16,182,11
16,185,9
16,186,3
16,187,2
16,188,7
16,191,2
16,192,2
16,193,6
16,194,1
17,1,5
17,5,1
17,6,3
17,7,7
17,8,1
17,9,2
17,10,3
17,11,1
17,12,16
17,13,4
17,14,4
17,15,3
17,16,4
17,18,4
17,19,10
17,21,8
17,22,12
17,23,3
17,24,4
17,25,8
17,27,4
17,28,2
17,29,5
17,30,5
17,31,14
17,32,12
17,33,5
17,34,22
17,35,8
17,36,5
17,38,3
17,43,1
17,46,3
17,47,2
17,49,22
17,50,3
17,51,4
17,52,18
17,53,1
17,54,5
17,55,16
17,56,2
17,58,2
17,59,1
17,60,5
17,61,5
17,63,1
17,65,1
17,68,7
17,69,6
17,70,1
17,71,4
17,72,2
17,73,5
17,74,6
17,75,1
17,76,16
17,77,9
17,78,40
17,79,1
17,80,125
17,81,10
17,82,16
17,83,1
17,85,1
17,86,2
17,87,1
17,89,2
17,92,2
17,93,4
17,94,8
17,95,1
17,96,7
17,97,29
17,98,1
17,100,2
17,101,16
17,102,19
17,103,3
17,104,3
17,105,2
17,106,5
17,107,7
17,108,5
