O,D,Ton
2,198,7
2,199,4
3,1,5
3,2,7
3,4,13
3,5,447
3,6,6
3,7,9
3,8,4
3,9,5
3,11,35
3,12,8
3,13,9
3,14,9
3,15,11
3,16,9
3,17,4
3,18,9
3,19,4
3,20,1
3,21,47
3,22,1
3,23,6
3,24,1
3,25,13
3,26,10
3,27,4
3,28,45
3,29,12
3,31,1
3,32,14
3,33,2
3,34,1
3,35,1
3,37,1
3,38,3
3,40,14
3,42,14
3,43,7
3,44,12
3,46,11
3,47,3
3,49,5
3,50,1
3,52,2
3,53,1
3,54,5
3,55,41
3,56,90
3,58,9
3,59,10
3,61,1
3,62,13
3,63,62
3,64,5
3,65,19
3,66,7
3,67,260
3,68,15
3,69,9
3,70,5
3,71,9
3,72,25
3,73,18
3,74,8
3,75,7
3,76,14
3,78,2
3,79,18
3,80,3
3,81,16
3,82,11
3,83,6
3,84,20
3,85,1
3,87,2
3,88,1
3,89,6
3,90,1
3,92,1
3,95,1
3,97,2
3,98,7
3,99,109
3,100,21
3,101,5
3,102,4
3,103,3
3,104,3
3,105,9
3,106,20
3,107,3
3,108,1
3,110,24
3,111,7
3,112,6
3,113,6
3,114,1
3,117,6
3,118,25
3,122,2
3,123,8
3,124,14
3,127,4
3,128,6
3,129,2
3,130,1
3,131,2
3,132,1
3,133,13
3,136,1
3,137,2
3,138,2
3,139,1
3,140,22
3,141,8
3,143,7
3,145,1
3,146,1
3,150,1
3,151,2
3,152,1
3,154,5
3,155,2
3,160,5
3,161,5
3,162,3
3,163,2
3,164,4
3,165,22
3,166,3
3,167,17
3,169,5
3,170,1
3,171,2
3,172,11
3,175,14
3,177,7
3,178,3
3,180,2
3,182,1
3,183,2
3,186,1
3,187,2
3,191,5
3,192,1
3,193,2
3,194,5
3,195,5
3,196,3
3,197,2
3,198,2
3,199,2
4,1,2
4,2,15
4,3,17
4,5,282
4,6,3
4,7,17
4,9,4
4,10,10
4,11,41
4,12,4
4,13,22
4,14,5
4,15,21
4,16,15
4,17,4
4,18,16
4,19,5
4,20,1
4,21,60
4,24,2
4,25,10
4,26,13
4,28,46
4,29,1
4,30,3
4,31,2
4,32,7
4,33,6
4,35,2
4,36,2
4,37,1
4,39,3
4,40,4
4,41,2
4,42,9
4,43,8
4,44,8
4,46,14
4,47,3
4,48,3
4,49,1
4,50,1
4,54,3
4,55,24
4,56,61
4,58,10
4,59,13
4,60,1
4,61,2
4,62,8
4,63,42
4,64,11
4,65,15
4,66,2
4,67,228
4,68,15
4,70,4
4,71,14
4,72,41
4,73,15
4,74,7
4,75,3
4,76,13
4,77,1
4,78,4
4,79,14
4,81,8
4,82,11
4,83,15
4,84,25
4,85,6
4,87,2
4,88,1
4,89,1
4,90,1
4,91,1
4,92,2
4,93,2
4,94,2
4,97,5
4,98,7
4,99,109
4,100,17
4,101,4
4,102,9
4,103,2
4,104,1
4,105,6
4,106,6
4,107,1
4,108,5
4,110,15
4,111,2
4,112,4
4,113,7
4,117,1
4,118,16
4,122,7
4,123,16
4,124,14
4,125,8
4,126,2
4,127,1
4,128,9
4,129,2
4,130,1
4,131,2
4,133,2
4,137,12
4,140,23
4,141,3
4,143,7
4,145,2
4,146,1
4,152,1
4,155,5
4,157,1
4,159,1
4,160,2
4,162,2
4,163,3
4,164,4
4,165,10
4,166,13
4,167,12
4,168,1
4,169,8
4,170,2
4,171,1
4,172,2
4,173,1
4,174,2
4,175,10
4,176,2
4,177,1
4,178,4
4,180,1
4,181,2
4,184,1
4,187,5
4,188,3
4,191,6
4,192,5
4,193,5
4,194,1
4,195,3
4,196,3
4,198,11
4,199,2
5,1,3
5,2,7
5,3,5
5,4,4
5,6,23
5,7,9
5,8,15
5,9,4
5,10,3
5,11,40
5,12,10
5,13,6
5,14,3
5,15,18
5,16,20
5,17,1
5,18,10
5,19,2
5,20,4
5,21,77
5,22,5
5,23,3
5,24,2
5,25,8
5,26,3
5,27,5
5,28,35
5,29,2
5,30,2
5,31,2
5,32,11
5,33,2
5,35,1
5,36,1
5,37,1
5,38,1
5,39,6
5,40,12
5,41,1
5,42,6
5,43,3
5,44,9
5,46,12
5,47,1
5,49,2
5,52,2
5,53,1
5,55,23
5,56,45
5,58,7
5,59,7
5,60,1
5,62,5
5,63,35
5,64,3
5,65,12
5,66,12
5,67,228
5,68,10
5,69,1
5,70,2
5,71,16
5,72,20
5,73,7
5,74,7
5,75,6
5,76,17
5,78,2
5,79,6
5,80,1
5,81,5
5,82,3
5,83,5
5,84,9
5,87,3
5,88,1
5,89,1
5,90,4
5,93,2
5,94,2
5,97,3
5,98,14
5,99,89
5,100,26
5,101,3
5,102,3
5,104,6
5,105,7
5,106,3
5,110,9
5,111,4
5,112,1
5,113,4
5,114,1
5,115,2
5,117,3
5,118,9
5,122,1
5,123,7
5,124,4
5,125,4
5,126,1
5,127,5
5,128,7
5,129,2
5,132,2
5,133,2
5,136,1
5,137,3
5,140,27
5,141,8
5,143,12
5,145,5
5,146,7
5,147,1
5,148,5
5,154,2
5,155,7
5,156,1
5,158,8
5,159,2
5,160,5
5,161,3
5,162,1
5,163,4
5,164,6
5,165,7
5,166,10
5,167,12
5,169,4
5,170,1
5,171,1
5,172,10
5,175,2
5,177,1
5,178,9
5,180,3
5,181,3
5,182,3
5,184,3
5,187,1
5,188,2
5,189,2
5,192,2
5,193,1
5,194,2
5,195,2
5,196,5
5,199,5
6,1,2
6,2,3
6,3,6
6,5,169
6,7,6
6,8,7
6,9,9
6,10,10
6,11,58
6,12,4
6,13,8
6,14,6
6,15,18
6,16,11
6,17,1
6,18,6
6,19,1
6,20,2
6,21,61
6,22,4
6,23,5
6,25,14
6,26,11
6,27,4
6,28,33
6,29,2
6,32,11
6,33,1
6,38,1
6,39,4
6,40,3
6,42,19
6,43,9
6,44,7
6,45,2
6,46,12
6,47,1
6,48,6
6,49,1
6,50,3
6,52,2
6,53,2
6,54,5
6,55,19
6,56,70
6,57,2
6,58,1
6,59,4
6,61,4
6,62,10
6,63,48
6,64,2
6,65,7
6,66,12
6,67,203
6,68,25
6,70,5
6,71,14
6,72,13
6,73,10
6,74,2
6,75,8
6,76,5
6,78,2
6,79,16
6,81,5
6,82,12
6,84,12
6,85,1
6,86,3
6,88,1
6,89,1
6,90,3
6,94,1
6,95,2
6,96,2
6,97,1
6,98,4
6,99,80
6,100,27
6,101,4
6,102,4
6,103,12
6,104,7
6,105,1
6,106,8
6,108,1
6,110,14
6,111,4
6,112,4
6,113,11
6,114,2
6,115,1
6,117,1
6,118,21
6,122,1
6,123,8
6,124,2
6,125,3
6,127,6
6,128,2
6,129,7
6,130,1
6,133,7
6,137,1
6,138,2
6,139,1
6,140,29
6,141,1
6,143,1
6,145,4
6,146,2
6,148,1
6,150,1
6,152,5
6,153,1
6,155,1
6,156,1
6,160,2
6,161,1
6,162,1
6,163,5
6,165,16
6,166,13
6,167,14
6,169,7
6,170,1
6,171,2
6,172,8
6,174,2
6,175,11
6,177,1
6,178,6
6,183,2
6,186,2
6,191,1
6,192,8
6,196,2
6,197,2
6,198,3
7,1,6
7,2,4
7,3,14
7,4,4
7,5,375
7,6,4
7,8,6
7,9,3
7,10,6
7,11,30
7,12,4
7,13,6
7,14,4
7,15,19
7,16,15
7,18,13
7,19,1
7,20,1
7,21,28
7,22,1
7,23,1
7,25,8
7,26,17
7,28,20
7,30,1
7,32,13
7,33,7
7,36,2
7,37,1
7,39,3
7,40,12
7,42,5
7,43,6
7,44,8
7,46,13
7,48,2
7,49,1
7,51,1
7,52,6
7,53,1
7,54,3
7,55,18
7,56,55
7,59,3
7,60,1
7,62,3
7,63,40
7,64,3
7,65,8
7,66,5
7,67,168
7,68,8
7,69,1
7,70,3
7,71,16
7,72,14
7,73,3
7,74,1
7,75,13
7,76,8
7,77,1
7,78,3
7,79,11
7,81,6
7,82,6
7,83,4
7,84,10
7,86,1
7,87,1
7,90,1
7,98,1
7,99,63
7,100,10
7,101,8
7,102,8
7,104,1
7,105,1
7,106,6
7,110,18
7,111,2
7,112,2
7,113,2
7,114,1
7,117,12
7,118,10
7,123,18
7,124,4
7,125,4
7,127,2
7,128,4
7,129,7
7,130,2
7,134,7
7,135,1
7,136,2
7,137,1
7,139,1
7,140,20
7,141,4
7,143,2
7,145,6
7,146,1
7,148,2
7,153,1
7,154,3
7,155,9
7,158,3
7,160,1
7,162,1
7,163,3
7,164,2
7,165,10
7,166,4
7,167,4
7,169,1
7,171,1
7,172,5
7,174,2
7,175,1
7,177,1
7,178,1
7,179,1
7,180,4
7,187,1
7,192,1
7,193,1
7,195,5
7,199,1
8,1,3
8,2,1
8,3,12
8,4,10
8,5,116
8,6,8
8,9,8
8,10,8
8,11,41
8,12,7
8,13,6
8,14,2
8,15,28
8,16,18
8,17,1
8,18,4
8,19,3
8,20,1
8,21,56
8,22,3
8,23,2
8,24,1
8,25,5
8,26,1
8,27,1
8,28,24
8,29,3
8,31,1
8,32,6
8,33,3
8,34,1
8,36,2
8,37,3
8,39,4
8,40,8
8,42,10
8,43,7
8,44,10
8,45,1
8,46,14
8,48,2
8,49,6
8,50,1
8,52,1
8,54,5
8,55,15
8,56,49
8,58,1
8,59,4
8,60,2
8,62,8
8,63,33
8,64,5
8,65,4
8,66,6
8,67,270
8,68,13
8,69,4
8,70,7
8,71,13
8,72,10
8,73,13
8,74,7
8,75,6
8,76,13
8,77,1
8,78,4
8,79,11
8,80,1
8,81,14
8,82,3
8,83,2
8,84,17
8,85,3
8,86,2
8,88,4
8,90,1
8,91,2
8,93,1
8,94,1
8,95,2
8,96,1
8,97,1
8,98,1
8,99,80
8,100,21
8,101,1
8,102,4
8,104,1
8,105,6
8,106,6
8,108,3
8,110,18
8,111,4
8,112,2
8,113,8
8,114,4
8,117,6
8,118,6
8,119,2
8,122,7
8,123,4
8,124,5
8,125,2
8,127,1
8,128,5
8,129,3
8,132,12
8,133,3
8,134,5
8,136,2
8,137,4
8,138,1
8,139,2
8,140,32
8,141,7
8,143,1
8,145,2
8,146,1
8,147,1
8,148,3
8,149,1
8,152,1
8,153,1
8,155,8
8,156,2
8,157,1
8,160,1
8,161,6
8,163,5
8,164,5
8,165,12
8,166,5
8,167,18
8,169,3
8,171,1
8,172,8
8,175,6
8,177,7
8,178,3
8,181,1
8,182,2
8,189,1
8,191,2
8,192,2
8,193,2
8,194,3
8,195,3
8,196,4
8,198,2
8,199,1
9,2,12
9,3,1
9,4,2
9,5,43
9,6,5
9,7,2
9,8,7
9,10,12
9,11,38
9,12,11
9,13,5
9,14,2
9,15,8
9,16,17
9,17,2
9,18,7
9,19,4
9,21,27
9,22,1
9,23,2
9,24,1
9,25,14
9,26,3
9,27,3
9,28,14
9,29,4
9,32,7
9,33,1
9,37,1
9,38,1
9,39,3
9,40,8
9,42,1
9,43,7
9,44,6
9,45,2
9,46,6
9,47,2
9,48,2
9,49,2
9,51,1
9,52,5
9,53,2
9,55,5
9,56,25
9,57,1
9,58,1
9,59,3
9,62,4
9,63,13
9,64,4
9,65,4
9,66,2
9,67,178
9,68,7
9,70,2
9,71,4
9,72,7
9,73,4
9,74,5
9,75,6
9,76,11
9,78,3
9,79,12
9,80,3
9,81,6
9,82,2
9,83,1
9,84,12
9,85,1
9,87,3
9,90,1
9,91,2
9,92,2
9,93,2
9,98,1
9,99,43
9,100,17
9,101,1
9,102,2
9,103,1
9,104,3
9,106,7
9,107,1
9,108,3
9,110,5
9,111,2
9,112,2
9,113,2
9,114,3
9,117,1
9,118,14
9,120,1
9,122,2
9,123,2
9,124,7
9,125,6
9,126,3
9,127,2
9,128,1
9,129,4
9,132,3
9,133,4
9,134,1
9,136,2
9,137,1
9,140,15
9,141,3
9,143,1
9,146,1
9,148,4
9,149,2
9,150,1
9,153,1
9,155,6
9,156,1
9,157,3
9,160,4
9,163,4
9,164,5
9,165,10
9,166,5
9,167,7
9,172,6
9,173,2
9,175,7
9,178,1
9,179,2
9,180,1
9,181,3
9,182,1
9,184,3
9,187,6
9,188,1
9,189,1
9,192,2
9,193,2
9,195,3
9,196,1
9,198,5
10,1,3
10,3,6
10,4,1
10,5,55
10,6,6
10,7,2
10,8,9
10,9,4
10,11,52
10,12,2
10,13,1
10,14,9
10,15,5
10,16,14
10,18,2
10,19,2
10,21,41
10,22,1
10,23,2
10,24,2
10,25,4
10,26,2
10,28,15
10,29,3
10,30,1
10,32,16
10,33,2
10,34,1
10,37,1
10,38,5
10,39,1
10,40,10
10,42,1
10,43,5
10,44,5
10,46,1
10,47,1
10,49,3
10,51,1
10,52,3
10,53,2
10,55,17
10,56,36
10,57,2
10,58,4
10,59,5
10,62,4
10,63,22
10,64,5
10,65,6
10,66,5
10,67,250
10,68,11
10,69,10
10,71,3
10,72,22
10,73,11
10,74,11
10,75,15
10,76,3
10,78,2
10,79,21
10,81,4
10,82,2
10,83,1
10,84,6
10,87,4
10,90,2
10,92,2
10,93,1
10,94,2
10,97,1
10,98,5
10,99,62
10,100,7
10,101,2
10,102,3
10,104,4
10,105,3
10,106,8
10,109,1
10,110,8
10,111,1
10,112,4
10,113,17
10,115,1
10,117,6
10,118,16
10,122,2
10,123,5
10,124,6
10,126,2
10,127,1
10,128,7
10,129,6
10,132,2
10,133,1
10,134,1
10,136,1
10,139,1
10,140,20
10,141,10
10,145,2
10,146,4
10,147,5
10,148,3
10,153,1
10,154,1
10,155,15
10,158,3
10,160,3
10,161,1
10,163,4
10,164,3
10,165,11
10,166,7
10,167,5
10,168,1
10,169,5
10,172,7
10,173,1
10,175,7
10,178,6
10,180,2
10,181,4
10,187,1
10,192,6
10,193,1
10,195,2
10,197,2
10,199,1
11,1,11
11,2,11
11,3,18
11,4,11
11,5,103
11,6,14
11,7,7
11,8,21
11,9,3
11,10,16
11,12,16
11,13,12
11,14,9
11,15,19
11,16,28
11,17,2
11,18,13
11,19,8
11,20,2
11,21,107
11,22,6
11,23,4
11,24,4
11,25,32
11,26,6
11,27,7
11,28,59
11,29,4
11,30,1
11,31,4
11,32,33
11,33,8
11,34,2
11,35,2
11,36,3
11,37,3
11,39,7
11,40,17
11,41,2
11,42,14
11,43,12
11,44,13
11,45,3
11,46,12
11,47,2
11,48,8
11,49,3
11,50,5
11,52,9
11,54,4
11,55,39
11,56,85
11,57,1
11,58,1
11,59,11
11,61,3
11,62,4
11,63,68
11,64,4
11,65,10
11,66,10
11,67,605
11,68,35
11,69,1
11,70,7
11,71,15
11,72,20
11,73,21
11,74,20
11,75,20
11,76,22
11,77,3
11,78,5
11,79,28
11,80,4
11,81,19
11,82,7
11,83,4
11,84,14
11,85,7
11,86,3
11,87,3
11,88,2
11,89,3
11,90,4
11,92,10
11,93,1
11,94,4
11,95,2
11,96,4
11,97,2
11,98,13
11,99,184
11,100,43
11,101,8
11,102,5
11,103,2
11,104,4
11,105,5
11,106,5
11,108,4
11,109,1
11,110,25
11,111,5
11,112,17
11,113,18
11,114,2
11,115,6
11,117,2
11,118,37
11,122,6
11,123,28
11,124,9
11,125,7
11,126,9
11,127,3
11,128,6
11,129,9
11,130,4
11,131,2
11,132,3
11,133,9
11,134,5
11,135,2
11,136,4
11,137,8
11,138,3
11,139,2
11,140,38
11,141,6
11,143,2
11,144,1
11,145,2
11,146,3
11,147,3
11,148,1
11,152,4
11,153,2
11,155,9
11,156,3
11,157,1
11,158,2
11,160,2
11,161,9
11,162,6
11,163,10
11,164,8
11,165,41
11,166,19
11,167,37
11,169,8
11,170,10
11,171,2
11,172,11
11,173,4
11,174,5
11,175,11
11,176,2
11,177,11
11,180,2
11,181,2
11,183,5
11,184,2
11,185,2
11,187,13
11,191,2
11,192,10
11,193,1
11,194,1
11,195,4
11,196,5
11,197,2
11,198,4
11,199,4
12,1,2
12,2,3
12,4,1
12,5,87
12,6,2
12,7,2
12,8,1
12,9,2
12,10,4
12,11,55
12,13,3
12,15,10
12,16,13
12,18,2
12,19,4
12,21,29
12,22,5
12,23,6
12,24,1
12,25,14
12,26,2
12,27,2
12,28,17
12,29,2
12,31,1
12,32,8
12,33,2
12,34,4
12,37,1
12,39,5
12,40,5
12,42,5
12,43,5
12,44,18
12,45,10
12,46,7
12,47,3
12,49,3
12,52,7
12,53,2
12,54,1
12,55,15
12,56,45
12,57,1
12,58,5
12,59,4
12,62,7
12,63,41
12,64,1
12,65,8
12,66,3
12,67,256
12,68,16
12,69,7
12,71,7
12,72,13
12,73,14
12,74,3
12,75,8
12,76,13
12,77,1
12,78,1
12,79,7
12,81,5
12,82,8
12,83,2
12,84,13
12,87,2
12,89,1
12,90,1
12,92,2
12,93,3
12,94,1
12,95,1
12,98,6
12,99,75
12,100,18
12,101,1
12,102,5
12,103,3
12,104,1
12,105,7
12,106,5
12,107,1
12,108,1
12,110,18
12,111,6
12,112,4
12,113,10
12,114,4
12,115,2
12,117,5
12,118,10
12,123,4
12,124,1
12,125,7
12,126,3
12,128,2
12,129,7
12,132,1
12,133,5
12,134,1
12,137,4
12,138,3
12,140,36
12,141,6
12,143,1
12,145,7
12,146,5
12,148,5
12,150,3
12,152,3
12,155,6
12,156,2
12,158,1
12,159,3
12,160,7
12,161,2
12,162,5
12,163,2
12,165,19
12,166,6
12,167,14
12,169,3
12,170,2
12,171,3
12,172,7
12,174,3
12,175,11
12,177,1
12,181,3
12,182,1
12,184,5
12,187,5
12,188,1
12,190,2
12,192,8
12,193,1
12,195,2
12,196,1
12,197,3
12,198,1
13,1,8
13,2,15
13,3,16
13,4,7
13,5,223
13,6,2
13,7,12
13,8,4
13,9,2
13,10,4
13,11,31
13,12,2
13,14,23
13,15,38
13,16,42
13,17,3
13,18,40
13,19,10
13,20,2
13,21,174
13,22,2
13,23,3
13,25,21
13,26,6
13,28,74
13,29,14
13,30,3
13,31,8
13,32,37
13,33,19
13,35,1
13,36,3
13,37,6
13,38,1
13,39,5
13,40,29
13,41,2
13,42,28
13,43,19
13,44,6
13,46,8
13,47,1
13,48,2
13,49,2
13,52,2
13,53,2
13,54,4
13,55,65
13,56,131
13,57,3
13,58,15
13,59,15
13,61,3
13,62,15
13,63,87
13,64,13
13,65,13
13,66,6
13,67,336
13,68,27
13,69,5
13,70,14
13,71,38
13,72,43
13,73,34
13,74,14
13,75,10
13,76,20
13,78,7
13,79,42
13,81,14
13,82,16
13,83,9
13,84,17
13,85,4
13,87,2
13,89,1
13,90,1
13,91,3
13,92,2
13,93,3
13,94,4
13,95,2
13,97,2
13,98,17
13,99,157
13,100,19
13,102,7
13,103,3
13,104,3
13,105,8
13,106,21
13,107,3
13,108,1
13,109,1
13,110,26
13,111,5
13,112,6
13,113,4
13,114,3
13,117,3
13,118,14
13,121,2
13,122,1
13,123,12
13,124,12
13,125,1
13,127,1
13,128,1
13,129,6
13,131,1
13,132,1
13,133,14
13,134,1
13,135,2
13,136,2
13,137,2
13,138,1
13,140,24
13,141,3
13,143,10
13,145,2
13,146,6
13,148,2
13,153,1
13,154,4
13,155,9
13,156,4
13,158,1
13,160,2
13,163,2
13,164,9
13,165,22
13,166,50
13,167,12
13,169,4
13,170,2
13,171,1
13,172,20
13,173,1
13,174,1
13,175,32
13,177,3
13,178,3
13,181,3
13,184,2
13,187,3
13,188,2
13,189,2
13,191,2
13,192,4
13,193,6
13,194,8
13,195,2
13,196,12
13,197,1
13,198,6
13,199,3
14,1,8
14,2,20
14,3,22
14,4,14
14,5,179
14,6,6
14,7,13
14,8,1
14,9,7
14,10,1
14,11,38
14,12,11
14,13,22
14,15,37
14,16,26
14,17,1
14,18,28
14,19,15
14,20,1
14,21,109
14,22,3
14,24,4
14,25,9
14,26,5
14,27,1
14,28,52
14,29,8
14,31,2
14,32,27
14,33,11
14,36,1
14,39,6
14,40,19
14,41,3
14,42,13
14,43,13
14,44,10
14,46,13
14,47,4
14,48,4
14,49,4
14,52,4
14,55,84
14,56,92
14,57,1
14,58,12
14,59,17
14,60,1
14,61,2
14,62,9
14,63,59
14,64,10
14,65,12
14,66,11
14,67,279
14,68,12
14,69,5
14,70,7
14,71,18
14,72,19
14,73,20
14,74,6
14,75,2
14,76,2
14,78,5
14,79,52
14,80,1
14,81,6
14,82,29
14,83,7
14,84,19
14,85,7
14,87,6
14,88,1
14,89,3
14,91,1
14,92,5
14,93,1
14,94,5
14,95,1
14,96,1
14,97,9
14,98,7
14,99,106
14,100,20
14,101,12
14,102,5
14,103,7
14,104,3
14,105,3
14,106,28
14,107,8
14,108,4
14,109,1
14,110,31
14,111,4
14,112,3
14,113,4
14,117,3
14,118,19
14,122,4
14,123,25
14,124,6
14,128,4
14,129,5
14,130,1
14,132,1
14,133,2
14,134,4
14,135,1
14,136,1
14,137,7
14,138,2
14,140,26
14,141,9
14,143,8
14,145,1
14,146,4
14,147,2
14,150,1
14,152,1
14,153,1
14,154,2
14,155,6
14,158,3
14,160,2
14,161,6
14,162,2
14,163,2
14,164,2
14,165,23
14,166,14
14,167,12
14,169,2
14,170,1
14,171,7
14,172,9
14,173,1
14,174,1
14,175,21
14,177,3
14,178,4
14,180,3
14,181,3
14,182,1
14,183,4
14,187,5
14,188,2
14,190,1
14,192,5
14,193,8
14,194,4
14,195,6
14,196,6
14,197,2
14,198,6
14,199,7
15,1,4
15,2,6
15,4,2
15,5,25
15,6,3
15,7,3
15,8,1
15,9,1
15,11,5
15,12,1
15,13,6
15,14,1
15,16,13
15,17,3
15,18,8
15,19,4
15,20,2
15,21,54
15,22,1
15,23,1
15,24,1
15,25,6
15,26,1
15,28,16
15,29,5
15,30,1
15,32,7
15,33,1
15,34,1
15,36,3
15,38,3
15,39,1
15,40,7
15,42,4
15,43,14
15,44,6
15,46,9
15,49,3
15,52,4
15,53,2
15,54,4
15,55,24
15,56,23
15,58,1
15,59,8
15,62,6
15,63,10
15,64,1
15,67,89
15,68,2
15,70,6
15,71,5
15,72,19
15,73,8
15,74,16
15,75,2
15,76,2
15,78,11
15,79,6
15,81,1
15,82,8
15,83,2
15,84,5
15,85,4
15,87,4
15,91,2
15,92,1
15,93,1
15,94,3
15,95,1
15,96,1
15,97,5
15,98,3
15,99,70
15,100,2
15,105,9
15,106,4
15,107,1
15,108,2
15,109,2
15,110,6
15,111,1
15,113,1
15,115,2
15,117,1
15,118,5
15,119,1
15,122,5
15,123,11
15,124,3
15,126,1
15,128,1
15,129,4
15,134,1
15,140,4
15,143,3
15,145,1
15,147,1
15,149,1
15,152,2
15,153,2
15,155,4
15,161,1
15,162,4
15,163,3
15,164,4
15,165,17
15,166,5
15,167,3
15,169,4
15,170,1
15,172,4
15,173,3
15,174,1
15,175,4
15,176,1
15,178,3
15,180,1
15,183,1
15,184,2
15,187,3
15,189,2
15,191,2
15,192,2
15,193,2
15,194,8
15,195,1
15,196,4
15,198,2
15,199,2
16,1,3
16,2,7
16,3,4
16,4,14
16,5,79
16,6,8
16,7,3
16,8,3
16,9,6
16,10,1
16,11,16
16,13,2
16,14,1
16,15,47
16,17,6
16,18,26
16,19,15
16,20,4
16,21,145
16,25,13
16,27,3
16,28,50
16,29,4
16,30,3
16,31,1
16,32,18
16,33,27
16,34,3
16,35,2
16,38,1
16,39,11
16,40,16
16,41,4
16,42,3
16,43,11
16,44,5
16,46,29
16,47,1
16,48,3
16,49,1
16,52,5
16,53,4
16,54,10
16,55,23
16,56,53
16,58,12
16,59,35
16,61,1
16,62,24
16,63,27
16,64,7
16,65,5
16,66,6
16,67,163
16,68,7
16,69,3
16,70,25
16,71,39
16,72,46
16,73,30
16,74,15
16,75,5
16,76,5
16,78,23
16,79,10
16,80,1
16,81,8
16,82,11
16,83,5
16,84,10
16,85,3
16,86,4
16,87,3
16,88,1
16,89,6
16,90,1
16,92,9
16,93,3
16,94,2
16,95,4
16,96,1
16,97,4
16,98,7
16,99,95
16,100,16
16,102,2
16,103,3
16,104,1
16,105,16
16,106,12
16,107,2
16,108,10
16,109,2
16,110,26
16,111,3
16,112,2
16,113,3
16,114,1
16,115,1
16,117,2
16,118,11
16,121,1
16,122,4
16,123,12
16,124,3
16,125,6
16,126,4
16,127,2
16,128,2
16,129,20
16,131,1
16,132,2
16,133,7
16,134,4
16,136,1
16,137,1
16,138,2
16,139,1
16,140,13
16,141,2
16,143,20
16,145,3
16,146,4
16,152,1
16,154,5
16,155,14
16,156,4
16,157,2
16,158,1
16,159,1
16,160,2
16,161,6
16,162,1
16,163,2
16,164,5
16,165,9
16,166,16
16,167,7
16,169,4
16,170,1
16,172,3
16,173,1
16,174,4
16,175,17
16,177,1
16,178,1
16,180,1
16,181,3
16,182,5
16,183,1
16,187,5
16,188,1
16,189,2
16,191,17
16,192,13
16,193,5
16,194,14
16,195,5
16,196,6
16,197,8
16,198,7
16,199,5
17,1,4
17,2,3
17,3,6
17,4,16
17,5,59
17,8,1
17,10,2
